title,estateType,expireAfter,project,province,district,ward,street,numberOfRoom,description,image,detail,price,area,contact,transaction,addressDetail,lat,lng
"
Chính chủ bán gấp nhà MT Cách Mạng Tháng 8, 4.2x20m 3 lầu 23 tỷ LH: Bình Minh 0907.340.198
",4,365,,1,15,,,,"
Gấp gấp chủ nhà cần bán nhà để chia tiền cho AE đi nước ngoài.Vị trí: CMT8 đoạn đẹp nhất quận 3.DT: 4.2x20m.KC: 3 lầu.Ưu điểm: Cầm tiền 25 tỷ không mua được MT CMT8 căng tương tự, chủ nhà ở trước giờ. Căn này lợi ngay 3 tỷ khi mua.Giá: 23 tỷ.LH: 0907.340.198 Bình Minh.+ Nhận ký gửi các nhà quận trung tâm.+ Nhanh chóng, an toàn. Thông tin bảo mật, chính xác.+ Vui lòng khách đến vừa lòng khách đi.
",https://file4.batdongsan.com.vn/resize/745x510/2019/06/13/20190613084753-9ec8_wm.jpg,,23000,84,,6,,10.7808177,106.6760435
"
Bán căn hộ cao cấp New City Thủ Thiêm, q2. Loại 1PN, 2PN, 3PN giá gốc CĐT, MT Mai Chí Thọ 5' tới q1
",2,365,,1,14,,,,"
Bán căn hộ cao cấp New City Thủ Thiêm, q2. Loại 1PN, 2PN, 3PN giá gốc CĐT.+ Vị trí: Mặt tiền Mai Chí Thọ, trung tâm phố đông q2 chỉ 5' tới q. 1.+ Không bao giờ kẹt xe tắc đường & ngập lụt.+ Đầy đủ các tiện ích cao cấp như: Công viên, siêu thị, hồ bơi, phòng gym, các chuỗi đồ ăn thức uống.+ View sông Sài Gòn thoáng đãng & sạch sẽ.+ Nhận nhà ngay.+ Nội thất cao cấp.+ Giá gốc chủ đầu tư.+ LH: Quang - 0903.668.659.
",https://file4.batdongsan.com.vn/resize/745x510/2020/02/09/20200209212709-024e_wm.jpg,,0,0,,6,,10.7820606231689,106.740081787109
"
Bán đất thổ cư đường số 8, Linh Xuân, DT: 55m2, giá: 2.4 tỷ, giá đầu tư. LH 0967.666.002
",5,365,,1,24,,,,"
- Chính chủ bán lô đất số 7 hẻm 226, đường số 8, Phường Linh Xuân.- Diện tích: 55m2.- Giá: 2.4 tỷ thương lượng.- KDC sạch sẽ, an ninh với rất nhiều nhà cao tầng.- Cam kết giá tốt nhất khu vực.- Mọi thông tin vui lòng liên hệ: 0967.666.002.- Xin cảm ơn.
",https://file4.batdongsan.com.vn/resize/745x510/2020/02/14/20200214140530-a1b0_wm.jpg,,2400,55,,6,,10.8788071,106.7750453
"
Bán nhà HXH 83.4m2 đường Tân Hương, Quận Tân Phú chỉ 6.4 tỷ
",1,365,,1,23,,,,"
Cần bán nhà HXH đường Tân Hương, Phường Tân Quý, Quận Tân Phú.DT 4m x 20.6m  DTCN : 83.4m2Nhà cũ tiện xây mới theo tâm thíchNằm trên cung đường kinh doanh sầm uất, thông ra Lũy Bán Bích thuận tiện di chuyển về hướng Quận 11, Quận Tân Bình.Hẻm nhà rộng 6m thông thoáng xe hơi vào tận nhà, nằm trong khu dân cư đông đúc, an ninh, yên tĩnhXung quanh đầy đủ mọi tiện ích, thích hợp kinh doanhGiá 6.4 tỷ. Giấy tờ pháp lý hoàn thiện
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509141715-0b34_wm.jpg,,6400,83,,6,,10.7900875,106.6217648
"
Bán căn nhà nhỏ thiết kế xinh xắn VCN Phước Hải giá 1,980 tỷ - LH 0906505668
",1,365,,6,87,,,,"
Bán căn nhà nhỏ mới xây thiết kế xinh xắn sát VCN Phước Hải, TP. Nha TrangVị trí : nhà hẻm nằm ngay chân CT2 Phước Hải, cách đường Cao Bá Quát khoảng 20m. Khu vực nhôn nhip, sầm uất, đầy đủ tiện ích (Trường học, chợ, bệnh viện,...)Kết cấu : 1 trệt 2 mê. Có 2p ngủ. Tầng trệt: Phòng khách + bếp và nhà tắm. Tầng 2 gồm: 1 p.ngủ, 1wc. Tầng 3: 1p ngủ, ngăn phòng đặt máy giặt và phơi đồ...Diện tích: 26,5m2 (dt sàn xây dựng 82m2)Giá chốt : 1 tỷ 980tr  Giá bao gồm full nội thất cao cấp, sang trọng, thích hợp cho vợ chồng trẻ...Khách quan tâm liên hệ : 0906505668
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509141655-eccb_wm.jpg,,1980,26.5,,6,,12.2887481,109.1481201
"
Chính thức mở bán biệt thự song lập 8x20m, XD 3 lầu sân vườn quanh nhà, giá chỉ từ 6,9 tỷ/căn (VAT)
",3,365,,1,21,,,,"
Chính sách tốt nhất cho khách hàng sở hữu dự án Đông Tăng Long, Quận 9.- Hỗ trợ lãi suất 0% và ân hạn nợ gốc 9 tháng.- Chiết khấu từ 2% - 4%/ căn.- Thanh toán theo tiến độ đến Quý IV - 2020 nhận nhà.Diện tích nhà phố: 5x20m, xây dựng 1 trệt 3 lầu.Diện tích Biệt thự song lập: 8x20m, xây dựng 1 trệt 3 lầu.Giá bán tốt nhất liên hệ ngay: 0906845499.
",https://file4.batdongsan.com.vn/resize/745x510/2020/04/28/20200428143508-18a2_wm.jpg,,0,160,,6,,10.8091526031494,106.821228027344
"
Chính chủ bán căn hộ 57.32m2 mặt tiền Nguyễn Lương Bằng, thanh toán theo tiến độ CĐT Hưng Thịnh
",2,365,,1,19,,,2,"
Vị trí: Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, TP. Hồ Chí Minh.Diện tích toàn khu: 16.481,60 m2.Số block: 04 block.Số tầng: 23 tầng.Số tầng hầm: 01 tầng.Tổng số căn hộ: 1.008 căn.Tổng số căn office: 84 căn.Tổng số căn trệt thương mại: 41 căn.Tiện ích nội khu: Hồ bơi, công viên, siêu thị, gym, spa, cafe, trường mẫu giáo...Tiện ích ngoại khu: Trường quốc tế KDC Phú Mỹ Hưng, SC Vivo City, Lotte Mart Quận 7...Diện tích căn hộ:+ 53.53m2 (1PN - 1WC) - Giá bán: 2.230 tỷ.+ 57.32m2 (2PN - 1WC) - Giá bán: 2,35 tỷ.+ 69.07m2 (2PN - 2WC) - Giá bán: 2.900 tỷ.+ 73.22m2 (3PN - 2WC) - Giá bán: 3.002 tỷ.+ 75.59m2 (3PN - 2WC) - Giá bán: 3.130 tỷ.Hiện tại đã xây dựng xong phần thô đang trong quá trình hoàn thiện nội thất.Bàn giao hoàn thiện nội thất cao cấp nhập khẩu.Anh/Chị quan tâm vui lòng liên hệ, xem căn hộ mẫu, hợp đồng, tiến độ thanh toán,...Cập nhật tiến độ thi công đến ngày 10/03/2020 - http://q7boulevard.com.vn/tien-do/Hinh-anh-thi-cong-den-ngay-10-03-2020.html#2Hotline: 0918097397 (Minh Vương).Cảm ơn AC đã xem tin.
",https://file4.batdongsan.com.vn/resize/745x510/2020/04/06/20200406084643-9b5c_wm.jpg,,2350,57.32,,6,,10.7097158432007,106.730026245117
"
Bán căn 2PN 1WC dự án Vinhomes Grand Park, view Landmark 81. Diện tích 59m2, hướng TB, giá gốc 1,67
",2,365,,1,21,,,2,"
Bán căn 2PN 1WC dự án Vinhomes Grand Park, view Landmark 81.- Mã căn: S1.03.1x. 17.- View Landmark 81 cực thoáng.- Hướng TB.- Diện tích 59m2.- Nhận nhà T6/2020.- Thanh toán chỉ 30% nhận nhà.Giá gốc 1.67 tỷ.Liên hệ: 0936 300 321 (zalo/viber).Nhận ký gửi phân khu 1, booking phân khu 2.
",https://file4.batdongsan.com.vn/resize/745x510/2019/12/31/20191231093510-6ae6_wm.jpg,,0,59,,6,,10.8401584625244,106.829307556152
"
Bán nhà 2 mặt tiền đường 3 Tháng 2, Quận 10, 3 lầu. Giá: 32.5 tỷ
",4,365,,1,11,,,,"
Bán nhà mặt tiền số 563 đường 3 Tháng 2, phường 8, quận 10. Vị trí đẹp ngay trung tâm, nhà 2 mặt tiền trước sau.- Sau nhà có hẻm 8m.- DT: 5,1x21.5m. Nở hậu 5,4m. Công nhận 115m2.- Kết cấu 3 lầu. Nhà mới đẹp khách mua nhận nhà khai thác ngay không cần sửa chữa.- Giá 32.5 tỷ.Liên hệ trực tiếp Quang Phi. 0938 717 808- Thông tin chính xác 100 %.
",,,32500,115,,6,,10.7664517,106.6647909
"
Bán tòa nhà 6 tầng thang máy kinh doanh tốt MP Thiên Hiền, Mỹ Đình, Nam Từ Liêm, DT 64m2, MT 5m
",4,365,,2,42,,,,"
- Bán nhà mặt phố Thiên Hiền, Mỹ Đình, Nam Từ Liêm, gần bến xe Mỹ Đình.Nhà có diện tích sử dụng 64m2 xây  6 tầng thang máy cực đẹp, mặt tiền 5m, vuông vắn phong thủy tốt.- Nhà nằm vị trí đẹp: khu phố kinh doanh sầm uất, phù hợp kinh doanh thời trang, phòng khám, spa hoặc văn phòng.- Tiện ích đầy đủ: đường trước nhà 4 ô tô tránh nhau thoải mái, vỉa hè rộng 3m tha hồ để xe; giao thông thuận tiện gần bến xe, gần đường vành đai 3, gần sân vận động Mỹ Đình, dễ dàng kết nối các tuyến Mỹ Đình, Lê Đức Thọ, Phạm Hùng. Sổ đỏ chính chủ, sang tên ngay. Giá bán: 19 tỷ ( có thương lượng cho khách thiện chí) Liên hệ: A Thanh 0906 599 535 
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/09/20200509141606-af95_wm.jpg,,19000,64,,6,,21.0223999,105.7763151
