title,estateType,expireAfter,project,province,district,ward,street,numberOfRoom,description,image,detail,price,area,contact,transaction,addressDetail,lat,lng
"
Cho thuê nhà tòa nhà văn phòng mới 100% đường Bình Giã, Phường 13, Quận Tân Bình
",4,365,,1,22,,,,"
Cho thuê nhà tòa nhà văn phòng mới 100% đường Bình Giã Phường 13 Quận Tân Bình.DT: 5,5x40m 1 hầm 1 trệt 7 lầu nhà trống suốt. Đã có PCCC.- Vị trí đẹp cách đường Trường Chinh 50m thích hợp mở văn phòng công ty, làm trường học, trung tâm ngoại ngữ, kinh doanh mọi ngành nghề...- Giá thuê: 130 tr/tháng (còn thương lượng).- Ưu tiên khách hàng thiện chí - MTG, TB.Liên hệ : 0932743567
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/04/20200504092520-c8ce_wm.jpg,,130,220,,5,,10.7999331,106.6444999
"
Cho thuê nhà mặt tiền đường Nguyễn Thị Thập, Quận 7, 16x40m
",4,365,,1,19,,,,"
Cho thuê nhà mặt tiền đường Nguyễn Thị Thập, Quận 7 - Diện tích: 16x40m- Giá: 200tr/tháng- Cọc & thanh toán: thương lượng Nhà nằm ngay vị trí đẹp nhất đường, khu vực dân cư đông đúc, kinh doanh sầm uất, tập trung nhiều thương hiệu lớn, phù hợp kinh doanh nhà hàng, siêu thị, nội thất, showroom, trường học, ngoài ngữ, spa, thẩm mỹ viện..... Liên hệ : Mr.Tín 0909321008 xem nhà
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/11/20200511145415-51a8_wm.jpg,,200,640,,5,,10.738715,106.7112074
"
Cần cho thuê căn hộ Everich Quận 11, 152m2, 3PN, full, giá thuê: 24tr/tháng, LH: Công 0903 833 234
",2,365,,1,12,,,3,"
Cần cho thuê căn hộ Everich Quận 11, 152m2, 3 phòng ngủ, 3WC, nhà view đẹp, lầu cao, thoáng mát, nhận nhà ở ngay,Tiện ích: Siêu thị Loteria, hồ bơi, bãi đậu xe, khu căn hộ an ninh 24/24, vị trí trung tâm, thuận tiện đi lại,...Giá thuê: 24 triệu/tháng.LH: Công 0903 833 234.
",https://file4.batdongsan.com.vn/resize/745x510/2020/01/03/20200103130954-e598_wm.jpg,,24,152,,5,,10.7632436752319,106.657119750977
"
Cho thuê văn phòng tại mặt phố Thọ Tháp, dt 35m2 view cửa kính cực đẹp, thang máy tốc độ cao
",2,365,,2,28,,,,"
Vị trí đẹp, gần công viên Cầu Giấy, xung quanh có nhiều tiện ích như ngân hàng, siêu thị, cây xăng...- Tòa nhà được thiết kế 7 tầng hiện đại chuyên nghiệp.- Có hầm để xe, ô tô đỗ tận cửa, có bảo vệ trông 24/24.- Có thang máy tốc độ cao thuận tiện cho việc di chuyển.- Có vệ sinh khép kín, điều hòa, wifi tốc độ cao miễn phí.- Văn phòng vuông vắn dễ setup nội thất.- View cửa kính cực đẹp, thông thoáng.- Trang bị đầy đủ hệ thống điều hòa, ánh sáng.Ký hợp đồng thuê chính chủ, có xuất hóa đơn VAT và cung cấp giấy tờ để đăng ký kinh doanh.Liên Việt Hoàng Gia - chuyên cho thuê văn phòng giá rẻ nhất Hà Nội.LH em Tâm: 0989155399 xem nhà trực tiếp.
",https://file4.batdongsan.com.vn/resize/745x510/2020/02/15/20200215154035-d7e3_wm.jpg,,7,35,,5,,21.0312728,105.790974
"
Cho thuê kho xưởng sản xuất, giá tốt nhất khu vực Tân Nhựt, huyện Bình Chánh, TPHCM. LH: 0946618676
",7,365,,1,1,,,,"
Cho thuê kho xưởng sản xuất, giá tốt nhất khu vực Tân Nhựt, huyện Bình Chánh, TP. HCM.- Diện tích cho thuê: 3000m2.- Kết cấu nhà xưởng khung thép tiền chế, mái cao thông thoáng, nền bê tông chịu lực tốt, sạch sẽ. Đầy đủ điện 3 pha, trạm 250KVA, nước sạch.- An ninh đảm bảo, có bảo vệ vòng ngoài 24/24, giao thông thuận tiện, xe container vào tận cửa kho. Cho thuê lâu dài, làm kho hàng hoặc xưởng sản xuất đều rất phù hợp.- Giá cho thuê: 40.000 đồng/m2/tháng.Thông tin chi tiết, liên hệ: 094.661.8676 gặp anh Phong - tuanphongland. Vn.
",https://file4.batdongsan.com.vn/resize/745x510/2020/02/10/20200210143653-f93c_wm.jpg,,120,3000,,5,,,
"
Cho thuê giá rẻ CH 82m2 dự án Ban Cơ Yếu Chính Phủ, 2 ngủ 2 WC, giá 12tr. LH: 0948.434.333
",2,365,,2,52,,,2,"
Nhà tôi có CH tại dự án Ban cơ yếu Chính Phủ chưa có nhu cầu sử dụng, muốn cho thuê dài hạn: - DT căn hộ: 82m2, 2 phòng ngủ, 2 WC- Nội thất cơ bản: Nóng lạnh, điều hòa, bếp, tủ bếp.- Tầng cao, view thoáng, cửa Đông Nam, ban công Tây Bắc.- Giá thuê 12tr/tháng, TT3 tháng cọc 1 tháng, 3 năm tới không tăng giá. Khách có nhu cầu tìm hiểu, xem/thuê nhà LH: 0948.434.333
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/11/20200511144934-9472_wm.jpg,,12,82,,5,,20.993579864502,105.798210144043
"
Cho thuê căn Studio tầng 12 Tòa S2 Sun Grand City Thụy Khuê: 1 ngủ riêng biệt, đầy đủ đồ view Hồ
",2,365,,2,48,,,1,"
Cần cho thuê gấp căn hộ Studio tòa nhà S2 chung cư Sun Grand City 69B Thụy Khuê: + Diện tích 59m2, thiết kế 1 ngủ riêng biệt, 1wc, ban công Đông Bắc view Hồ Tây.+ Căn hộ đã được trang bị đầy đủ đồ bao gồm điều hòa 2 chiều Daikin, nóng lạnh, bồn tắm nằm, bồn tắm sục mát xa, tivi, tủ lạnh Side By Side, sofa, bàn ăn, kệ bếp tủ bếp, bếp từ, giường tủ, thiết kế đồ đồng bộ,..Khách thuê chỉ việc xách vali vào ở ngay.+ Giá thuê: 16 tr/tháng.(Đã bao gồm phí quản lý, wifi, dọn phòng...)+ Chi tiết liên hệ Mr. Minh: 0979460088. * Điểm ưu việt của CC cao cấp Sun Gard 69B Thụy Khuê:+ 5 tầng dưới cùng là TTTM tiện lợi với siêu thị Vinmart, CGV, Starbucks, KFC... TM gần phố cổ.+ Bể bơi chuẩn Olympic.+ Hệ thống báo cháy an toàn, căn hộ lắp đặt sẵn chuông hình và khóa số + vân tay hiện đại.* Ngoài ra còn là vị trị thuận tiện giao với các dư án: Golden Westlake, Vinhomes Metropolis, Lotte Liễu Giai, Tân Hoàng Minh D'. Le Roi Soleil - Quảng An, Sun Grand City 69B Thụy Khuê...
",https://file4.batdongsan.com.vn/resize/745x510/2020/05/11/20200511145326-8666_wm.jpg,,16,59,,5,,21.0411720275879,105.825096130371
"
Cho Thuê Nhà Nguyên Căn Mới Đường Nguyễn Tri Phương DT 5x14m Quận 10 giá 60tr/th lh 0898311051
",4,365,,1,11,,,,"
Cho Thuê Nhà Nguyên Căn Đường Nguyễn Tri Phương Quận 10 !- Nhà cho thuê nguyên căn mặt phố đường Nguyễn Tri Phương , Quận 10 – gần chè Thái Nguyễn Tri Phương !- Diện tích : 5x14m,- Kết cấu : trệt , 2 lầu, - Lề đường rộng rãi , khu dân cư đông đúc , tuyến đường thuận tiện giao thông các quận trung tâm.- Nhà còn mới, tiện kd Trà sữa, thức ăn nhanh, và các ngành khác....- Gía : 60tr/tháng- Liên hệ : 0898311051
",,,60,70,,5,,10.7628652,106.6682493
"
Cho thuê khách sạn 30 phòng khu vực Phạm Ngũ Lão. Giá tốt nhất thị trường liên hệ: 0909099034
",1,365,,1,10,,,30,"
Khách sạn 8 tầng, diện tích 4x23m, nở hậu 6,3m. 30 phòng đều có cửa sổ rộng rãi thoáng mát, full nội thất. Có thang máy. Đường đi ô tô vào tận cửa.Nằm ngay khu phố tây sầm uất và phố đi bộ Bùi Viện thuận tiện cho việc kinh doanh. Tầng trệt có thể cho thuê lại giá 47triệu/tháng. Giá thỏa thuận.Liên hệ: 0909099034 (Chị Nguyệt).
",https://file4.batdongsan.com.vn/resize/745x510/2020/04/27/20200427160126-9ca6_wm.jpg,,238,92,,5,,10.7683778236999,106.694412022229
"
Cho thuê căn hộ Avalon Saigon Apartment, quận 1, cạnh Dinh Độc Lập - 0903208113
",2,365,,1,10,,,2,"
Cho thuê căn hộ Avalon Saigon Apartment, quận 1 - 0903 208 113.* Căn hộ cho thuê nằm tại tòa nhà sang trọng nhất hiện nay ngay tại trung tâm quận 1 Saigon. Bạn chỉ mất 1 phút để đến nhà thờ Đức Bà, công viên, Dinh Độc Lập, trung tâm mua sắm Diamond Plaza,...* Căn hộ cho thuê với tiện nghi cực kỳ sang trọng, dịch vụ quá chuyên nghiệp mà không đâu có được.* Với lượng căn hộ chỉ 54 căn, tất cả khách hàng sinh sống tại đây đều là những người rất lịch sự và là những chuyên gia cấp cao của các tập đoàn đa quốc gia.*Căn hộ cho thuê rộng 103m2, bao gồm 2 phòng ngủ, 2 phòng tắm(bồn tắm nằm, căn hộ góc hai view, ban công giả, nội thất cực kỳ sang trọng.* Các dịch vụ kèm theo khi thuê căn hộ tại Avalon Residence:- Dọn dẹp 3 lần/tuần.- Miễn phí: Gym, hồ bơi, phí quản lý, thuế, cáp, internet, gas - Không bao gồm điện và nước sinh hoạt.- Giá cho thuê: 59 triệu/tháng(còn thương lượng chút đỉnh).Liên hệ xem nhà vui lòng gọi: 0903 208 113 Ms. Mi.Hoặc tham khảo thêm về dự án tại: http://tmhouse.vn/du-an-wilton-binh-thanh/Xin cảm ơn!
",https://file4.batdongsan.com.vn/resize/745x510/2018/10/18/20181018150823-d553_wm.jpg,,59,103,,5,,10.7797250747681,106.695465087891
